Rank,TV Show,Year,Star Cast,Rating,url
1,Planeta Tierra II,2016,David Attenborough,9.498023497499817,www.imdb.com/title/tt5491994/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=4YX0TMGWA8M6QHASK48X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_1
2,Hermanos de sangre,2001,"Scott Grimes, Damian Lewis",9.455660989345807,www.imdb.com/title/tt0185906/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=4YX0TMGWA8M6QHASK48X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_2
3,Juego de tronos,2011,"Emilia Clarke, Peter Dinklage",9.444816116815037,www.imdb.com/title/tt0944947/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=4YX0TMGWA8M6QHASK48X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_3
4,Planeta Tierra,2006,"David Attenborough, Sigourney Weaver",9.443685136356558,www.imdb.com/title/tt0795176/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=4YX0TMGWA8M6QHASK48X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_4
5,Breaking Bad,2008,"Bryan Cranston, Aaron Paul",9.410885777486014,www.imdb.com/title/tt0903747/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=4YX0TMGWA8M6QHASK48X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_5
6,The Wire (Bajo escucha),Bajo escucha,"Dominic West, Lance Reddick",9.306207737185034,www.imdb.com/title/tt0306414/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=4YX0TMGWA8M6QHASK48X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_6
7,Cosmos: Una odisea en el espacio-tiempo,2014,"Neil deGrasse Tyson, Stoney Emshwiller",9.252967388132209,www.imdb.com/title/tt2395695/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=4YX0TMGWA8M6QHASK48X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_7
8,Rick y Morty,2013,"Justin Roiland, Chris Parnell",9.231547136982353,www.imdb.com/title/tt2861424/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=4YX0TMGWA8M6QHASK48X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_8
9,Cosmos,1980,"Carl Sagan, Jaromír Hanzlík",9.224728275671467,www.imdb.com/title/tt0081846/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=4YX0TMGWA8M6QHASK48X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_9
10, Planeta azul II,2017,"David Attenborough, Peter Drost",9.211800559044013,www.imdb.com/title/tt6769208/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=4YX0TMGWA8M6QHASK48X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_10
11,Los Soprano,1999,"James Gandolfini, Lorraine Bracco",9.14466020936204,www.imdb.com/title/tt0141842/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=4YX0TMGWA8M6QHASK48X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_11
12,El mundo en guerra,1973,"Laurence Olivier, Anthony Eden",9.141259260610623,www.imdb.com/title/tt0071075/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=4YX0TMGWA8M6QHASK48X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_12
13,Avatar: La leyenda de Aang,2003,"Dee Bradley Baker, Zach Tyler",9.116912187064814,www.imdb.com/title/tt0417299/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=4YX0TMGWA8M6QHASK48X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_13
14,Life,2009,"David Attenborough, Oprah Winfrey",9.111451014780188,www.imdb.com/title/tt1533395/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=4YX0TMGWA8M6QHASK48X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_14
15,Sherlock,2010,"Benedict Cumberbatch, Martin Freeman",9.09512214465682,www.imdb.com/title/tt1475582/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=4YX0TMGWA8M6QHASK48X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_15
16,Planeta humano,2011,"John Hurt, Roger Munns",9.025300763777167,www.imdb.com/title/tt1806234/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=4YX0TMGWA8M6QHASK48X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_16
17,La dimensión desconocida,1959,"Rod Serling, Robert McCord",9.024766272808046,www.imdb.com/title/tt0052520/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=4YX0TMGWA8M6QHASK48X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_17
18,La guerra de Vietnam,2017,"Peter Coyote, Huy Duc",9.024007526517552,www.imdb.com/title/tt1877514/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=4YX0TMGWA8M6QHASK48X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_18
19,El decálogo,1989,"Artur Barcis, Olgierd Lukaszewicz",9.005757125813426,www.imdb.com/title/tt0092337/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=4YX0TMGWA8M6QHASK48X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_19
20,The Civil War,1990,"David McCullough, Sam Waterston",8.99609077710338,www.imdb.com/title/tt0098769/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=4YX0TMGWA8M6QHASK48X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_20
21,Firefly,2002,"Nathan Fillion, Gina Torres",8.995408857884648,www.imdb.com/title/tt0303461/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=4YX0TMGWA8M6QHASK48X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_21
22,Fullmetal Alchemist: Brotherhood,2009,"Iemasa Kayumi, Kent Williams",8.986355379318274,www.imdb.com/title/tt1355642/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=4YX0TMGWA8M6QHASK48X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_22
23,True Detective,2014,"Vince Vaughn, Colin Farrell",8.984544501029358,www.imdb.com/title/tt2356777/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=4YX0TMGWA8M6QHASK48X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_23
24,Fargo,2014,"Billy Bob Thornton, Martin Freeman",8.956742693338958,www.imdb.com/title/tt2802850/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=4YX0TMGWA8M6QHASK48X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_24
25,Last Week Tonight with John Oliver,2014,"John Oliver, David Kaye",8.943779468779043,www.imdb.com/title/tt3530232/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=4YX0TMGWA8M6QHASK48X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_25
26,Batman,1992,"Kevin Conroy, Loren Lester",8.933856835883278,www.imdb.com/title/tt0103359/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=4YX0TMGWA8M6QHASK48X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_26
27,Death Note,2006,"Mamoru Miyano, Brad Swaile",8.918374246554928,www.imdb.com/title/tt0877057/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=4YX0TMGWA8M6QHASK48X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_27
28,Planeta azul,2001,"David Attenborough, Pierce Brosnan",8.898784381311932,www.imdb.com/title/tt0296310/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=4YX0TMGWA8M6QHASK48X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_28
29,Cowboy Bebop,1998,"Kôichi Yamadera, Unshô Ishizuka",8.878238021813631,www.imdb.com/title/tt0213338/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=4YX0TMGWA8M6QHASK48X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_29
30,Sahsiyet,2018,"Haluk Bilginer, Cansu Dere",8.863916701797406,www.imdb.com/title/tt7920978/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=4YX0TMGWA8M6QHASK48X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_30
31,One Punch Man,2015,"Makoto Furukawa, Max Mittelman",8.860821423472121,www.imdb.com/title/tt4508902/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=4YX0TMGWA8M6QHASK48X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_31
32,Black Mirror,2011,"Daniel Lapaine, Hannah John-Kamen",8.860414995822412,www.imdb.com/title/tt2085059/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=4YX0TMGWA8M6QHASK48X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_32
33,Orgullo y prejuicio,1995,"Colin Firth, Jennifer Ehle",8.854212231198778,www.imdb.com/title/tt0112130/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=4YX0TMGWA8M6QHASK48X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_33
